09-14 20:32:35.598 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -56 -55 -58 -58 -45 -42 -40 -30 -33 -38 -53 -37 -29 -27 -28 -30 -33 -29 -29 -30 -31 -33 -35 -37 -34 -33 -31 -30 -28 -27 -25 -27 
09-14 20:32:35.600 21801  4840 I wDSP_SpectrumEngine: POWER32 -86 -85 -85 -90 -68 -63 -58 -47 -45 -48 -58 -38 -32 -29 -28 -30 -36 -30 -32 -30 -30 -33 -36 -36 -33 -32 -33 -35 -34 -34 -34 -38 
09-14 20:32:35.600 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 
09-14 20:32:35.600 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:32:35.600 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=1791 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:32:36.612 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -66 -65 -62 -58 -46 -42 -39 -34 -38 -38 -55 -37 -32 -25 -27 -32 -34 -30 -30 -30 -33 -33 -34 -36 -34 -33 -31 -31 -28 -27 -25 -27 
09-14 20:32:36.618 21801  4840 I wDSP_SpectrumEngine: POWER32 -96 -95 -100 -83 -73 -60 -55 -53 -57 -47 -62 -37 -33 -28 -28 -33 -34 -30 -33 -33 -35 -32 -33 -33 -30 -34 -32 -35 -35 -35 -34 -37 
09-14 20:32:36.618 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 
09-14 20:32:36.618 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:32:36.619 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=1885 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:32:37.627 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -72 -71 -62 -57 -44 -45 -41 -34 -34 -37 -52 -39 -33 -24 -28 -32 -35 -29 -31 -31 -31 -31 -35 -36 -35 -32 -31 -30 -29 -27 -25 -27 
09-14 20:32:37.632 21801  4840 I wDSP_SpectrumEngine: POWER32 -108 -107 -89 -89 -68 -69 -68 -55 -49 -49 -57 -43 -34 -23 -28 -32 -36 -29 -34 -32 -30 -32 -34 -31 -33 -30 -33 -33 -34 -34 -34 -38 
09-14 20:32:37.632 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 
09-14 20:32:37.632 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:32:37.632 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=1982 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:32:38.627 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -59 -58 -57 -53 -50 -46 -39 -32 -33 -40 -55 -40 -35 -28 -27 -31 -33 -30 -31 -31 -32 -32 -34 -36 -35 -32 -32 -30 -28 -27 -25 -27 
09-14 20:32:38.629 21801  4840 I wDSP_SpectrumEngine: POWER32 -90 -89 -87 -76 -72 -65 -62 -52 -45 -50 -62 -40 -38 -28 -28 -31 -34 -30 -33 -29 -34 -31 -32 -34 -32 -32 -33 -36 -34 -35 -33 -36 
09-14 20:32:38.629 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 
09-14 20:32:38.629 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:32:38.630 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=2076 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:32:39.637 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -60 -59 -60 -56 -47 -45 -39 -33 -35 -38 -52 -42 -33 -26 -28 -32 -33 -31 -32 -30 -32 -32 -35 -36 -34 -33 -31 -31 -29 -27 -25 -27 
09-14 20:32:39.642 21801  4840 I wDSP_SpectrumEngine: POWER32 -90 -89 -99 -83 -72 -69 -59 -54 -51 -47 -59 -45 -34 -26 -27 -32 -33 -31 -33 -32 -32 -31 -36 -32 -30 -32 -33 -36 -34 -36 -34 -40 
09-14 20:32:39.642 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 
09-14 20:32:39.642 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:32:39.642 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=2170 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:32:40.650 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -59 -58 -59 -55 -45 -44 -36 -32 -33 -39 -48 -37 -33 -28 -27 -32 -34 -28 -31 -31 -32 -32 -33 -36 -34 -33 -32 -30 -28 -27 -25 -27 
09-14 20:32:40.653 21801  4840 I wDSP_SpectrumEngine: POWER32 -90 -89 -98 -81 -66 -63 -53 -49 -46 -47 -50 -36 -32 -28 -31 -34 -38 -28 -32 -31 -32 -32 -31 -31 -32 -32 -33 -35 -33 -35 -34 -38 
09-14 20:32:40.653 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 
09-14 20:32:40.653 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
