09-14 20:34:32.581 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -59 -58 -56 -50 -52 -54 -68 -61 -63 -68 -83 -70 -62 -50 -54 -62 -51 -62 -67 -68 -70 -73 -74 -86 -78 -71 -71 -78 -79 -77 -73 -72 
09-14 20:34:32.585 21801  4840 I wDSP_SpectrumEngine: POWER32 -98 -97 -89 -86 -82 -76 -95 -77 -73 -79 -85 -69 -62 -49 -55 -66 -47 -60 -76 -67 -73 -72 -72 -77 -75 -65 -69 -79 -79 -77 -77 -80 
09-14 20:34:32.585 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -108 -107 -100 -101 -96 -83 -86 -86 -71 -83 -89 -75 -66 -60 -65 -70 -50 -63 -77 -75 -77 -79 -77 -77 -78 -67 -72 -81 -81 -79 -78 -82 
09-14 20:34:32.585 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:34:32.585 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=12756 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:34:33.595 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -59 -58 -56 -56 -51 -60 -66 -62 -58 -65 -85 -74 -79 -56 -57 -70 -54 -65 -67 -67 -71 -78 -77 -83 -78 -70 -72 -83 -77 -73 -71 -72 
09-14 20:34:33.599 21801  4840 I wDSP_SpectrumEngine: POWER32 -87 -86 -82 -80 -74 -80 -83 -81 -69 -79 -87 -71 -68 -55 -57 -67 -49 -62 -67 -68 -70 -74 -73 -75 -73 -65 -70 -82 -78 -76 -75 -79 
09-14 20:34:33.599 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -108 -107 -100 -101 -96 -83 -86 -86 -71 -83 -89 -75 -66 -60 -65 -70 -50 -63 -77 -75 -77 -79 -77 -77 -78 -67 -72 -81 -81 -79 -78 -82 
09-14 20:34:33.600 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:34:33.600 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=12854 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:34:34.597 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -58 -57 -58 -65 -60 -64 -63 -60 -50 -61 -74 -66 -56 -51 -56 -64 -50 -64 -71 -68 -72 -76 -75 -79 -78 -73 -71 -76 -73 -69 -67 -67 
09-14 20:34:34.601 21801  4840 I wDSP_SpectrumEngine: POWER32 -86 -85 -82 -88 -88 -81 -78 -75 -63 -69 -76 -65 -55 -50 -54 -61 -47 -60 -70 -68 -70 -75 -72 -72 -72 -65 -69 -77 -76 -74 -74 -76 
09-14 20:34:34.601 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -108 -107 -100 -101 -96 -83 -86 -86 -71 -83 -89 -75 -66 -60 -65 -70 -50 -63 -77 -75 -77 -79 -77 -77 -78 -67 -72 -81 -81 -79 -78 -82 
09-14 20:34:34.601 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:34:34.601 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=12947 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:34:35.612 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -57 -56 -49 -49 -58 -57 -55 -57 -56 -68 -78 -72 -60 -52 -54 -63 -52 -65 -70 -69 -75 -74 -74 -81 -77 -71 -71 -79 -77 -75 -75 -73 
09-14 20:34:35.618 21801  4840 I wDSP_SpectrumEngine: POWER32 -96 -95 -81 -76 -80 -77 -72 -77 -68 -76 -81 -69 -60 -54 -53 -66 -48 -62 -68 -67 -75 -71 -69 -73 -74 -65 -69 -78 -78 -77 -78 -79 
09-14 20:34:35.618 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -108 -107 -100 -101 -96 -83 -86 -86 -71 -83 -89 -75 -66 -60 -65 -70 -50 -63 -77 -75 -77 -79 -77 -77 -78 -67 -72 -81 -81 -79 -78 -82 
09-14 20:34:35.618 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:34:35.618 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=13041 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:34:36.614 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -62 -61 -61 -60 -61 -55 -63 -64 -53 -68 -75 -69 -62 -53 -55 -67 -56 -66 -70 -71 -73 -74 -76 -82 -79 -72 -72 -79 -76 -74 -72 -73 
09-14 20:34:36.619 21801  4840 I wDSP_SpectrumEngine: POWER32 -91 -90 -87 -90 -82 -72 -78 -77 -63 -81 -83 -68 -63 -52 -58 -68 -50 -62 -70 -76 -70 -71 -71 -75 -74 -65 -70 -80 -79 -77 -77 -79 
09-14 20:34:36.619 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -108 -107 -100 -101 -96 -83 -86 -86 -71 -83 -89 -75 -66 -60 -65 -70 -50 -63 -77 -75 -77 -79 -77 -77 -78 -67 -72 -81 -81 -79 -78 -82 
09-14 20:34:36.619 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:34:36.619 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=13135 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:34:37.615 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -72 -71 -65 -61 -63 -56 -63 -60 -51 -64 -78 -68 -60 -52 -55 -56 -52 -59 -67 -68 -71 -74 -70 -74 -74 -71 -74 -78 -77 -76 -72 -71 
09-14 20:34:37.620 21801  4840 I wDSP_SpectrumEngine: POWER32 -116 -115 -97 -90 -92 -74 -78 -75 -65 -77 -82 -69 -61 -51 -54 -57 -47 -59 -70 -69 -73 -76 -72 -74 -72 -65 -70 -79 -78 -78 -77 -78 
09-14 20:34:37.621 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -108 -107 -100 -101 -96 -83 -86 -86 -71 -83 -89 -75 -66 -60 -65 -70 -50 -63 -77 -75 -77 -79 -77 -77 -78 -67 -72 -81 -81 -79 -78 -82 
09-14 20:34:37.621 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
